2022-09-12 15:17:06,003 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a5fc7f7: startup date [Fri Aug 26 10:43:57 IST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-28
2022-09-12 15:17:34,936 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a5fc7f7: startup date [Mon Sep 12 15:17:34 IST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2022-09-12 15:17:37,171 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2022-09-12 15:17:37,468 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2022-09-12 15:17:37,780 | INFO  | Recovering from the journal @9:14546448 | org.apache.activemq.store.kahadb.MessageDatabase | main
2022-09-12 15:17:37,811 | INFO  | Recovery replayed 25 operations from the journal in 0.234 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2022-09-12 15:17:37,827 | INFO  | PListStore:[E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2022-09-12 15:17:37,858 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2022-09-12 15:17:37,983 | INFO  | Recovering from the scheduled job journal @1:172 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-09-12 15:17:37,983 | INFO  | Recovery replayed 1 operations from the journal in 0.0 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-09-12 15:17:37,983 | INFO  | JobSchedulerStore: E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2022-09-12 15:17:38,421 | INFO  | Installing StaticsBroker | org.apache.activemq.plugin.StatisticsBrokerPlugin | main
2022-09-12 15:17:38,421 | INFO  | Installing Discarding Dead Letter Queue broker plugin[dropAll=true; dropTemporaryTopics=true; dropTemporaryQueues=true; dropOnly=null; reportInterval=1000] | org.apache.activemq.plugin.DiscardingDLQBrokerPlugin | main
2022-09-12 15:17:38,770 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-62139-1662976057858-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2022-09-12 15:17:38,785 | INFO  | Starting StatisticsBroker | org.apache.activemq.plugin.StatisticsBroker | main
2022-09-12 15:17:38,785 | INFO  | Broker Plugin org.apache.activemq.broker.util.RedeliveryPlugin started | org.apache.activemq.broker.BrokerPluginSupport | main
2022-09-12 15:17:42,348 | INFO  | Listening for connections at: stomp+ssl://NCI-IT-P-DLP-FS:17513?maximumConnections=10&wireFormat.maxFrameSize=104857600&needClientAuth=true&transport.enabledCipherSuites=TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384&transport.enabledProtocols=TLSv1.2 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-09-12 15:17:42,348 | INFO  | Connector stomp+ssl started | org.apache.activemq.broker.TransportConnector | main
